,fold,train_time,train_mae,train_mse,train_rmse,train_r2,test_mae,test_mse,test_rmse,test_r2
0,1,12.13730788230896,0.012413491,0.00030504097,0.017465422190926973,0.9906237587254919,0.01268898,0.0003649341,0.019103248264371223,0.9897529697371389
1,2,10.655099153518677,0.008718909,0.00013560476,0.011644945590924822,0.9958479188791255,0.008743649,0.00014080803,0.011866255851621675,0.9957937297720822
2,3,10.243911981582642,0.0077150776,0.00011372964,0.01066441007183521,0.9965207824473175,0.007824811,0.0001304698,0.011422337518438823,0.9960362040815361
3,4,10.563969135284424,0.008029927,0.00011892719,0.010905374518929726,0.9963620198583268,0.007875563,0.00010889284,0.010435173224094922,0.9966856479390335
4,5,10.875755071640015,0.009227636,0.00016704523,0.01292459798045176,0.9948874135628313,0.008962105,0.0001508787,0.01228326892247549,0.9954572357152662
5,6,10.658956050872803,0.007196999,0.00010099822,0.010049787185740075,0.996910460740323,0.0071420884,9.861192e-05,0.009930353437012403,0.9970016659026479
6,7,10.484991073608398,0.010205273,0.00020048096,0.014159130088028113,0.9938583097823995,0.010248029,0.00020578098,0.014345068006206434,0.993910280147504
7,8,10.110645771026611,0.007962985,0.0001262776,0.011237330905805485,0.9961390773360204,0.0077063465,0.00012948396,0.011379101912544515,0.9960237411771313
8,9,11.37749195098877,0.009458635,0.00016678417,0.012914494631889427,0.9948983711290572,0.009179661,0.00015689123,0.012525622804957778,0.9952241665056992
9,10,12.062313079833984,0.013706077,0.00034565,0.018591665138036784,0.9894465938075132,0.013170169,0.00030642634,0.017505037667508612,0.9903131879599029
10,11,10.633008003234863,0.008170752,0.00011907967,0.010912363097234465,0.9963822087059816,0.007906019,9.827919e-05,0.009913586124217989,0.9965661677394942
11,12,10.389302015304565,0.0092013385,0.0001619129,0.012724500124660684,0.9950511884193766,0.00938012,0.0001601839,0.012656377959855502,0.9950497995741655
12,13,10.387286901473999,0.0080567505,0.00012971279,0.011389152260069242,0.9960281968896871,0.0077277166,0.00012657906,0.011250736125358285,0.9962207002064153
13,14,10.291518926620483,0.011896812,0.00027636136,0.016624119804769456,0.9915302708762838,0.011606138,0.0002682714,0.01637899254029686,0.9920863797876445
14,15,10.703013896942139,0.007888117,0.00012737598,0.011286096953686348,0.9961212623947427,0.007767731,0.00012168763,0.011031211787889943,0.9959509132409812
15,16,10.262567043304443,0.011103773,0.00025972386,0.016115950594502073,0.9920343234346977,0.011632097,0.00026194484,0.016184709916283513,0.9923807463863832
16,17,10.204391956329346,0.010810938,0.00022548715,0.015016229573401952,0.9930982000690847,0.0114483265,0.0002987158,0.01728339688054209,0.9909965451641101
17,18,10.44872498512268,0.012567488,0.0003156471,0.01776646016002313,0.9903470263955331,0.012901098,0.0003323468,0.018230381159544402,0.9898334923154442
18,19,10.533470869064331,0.011323513,0.00026742148,0.016353026553952398,0.9923254046484555,0.012104551,0.00031635587,0.01778639570572976,0.9910392690537637
19,20,10.397892236709595,0.008206118,0.00012783615,0.011306464748601114,0.9961422535289205,0.007669609,0.00010207483,0.010103208964231163,0.9965837955707534
