,fold,train_time,train_mae,train_mse,train_rmse,train_r2,test_mae,test_mse,test_rmse,test_r2
0,1,0.12648797035217285,0.0016850427734685914,5.964755581799654e-06,0.002442284910038068,0.9999962182988467,0.0017811801579507786,8.764127342395581e-06,0.002960426885162946,0.9999949240628215
1,2,0.10658693313598633,0.0016871278897264894,6.013188459480904e-06,0.002452180348074118,0.9999962023084493,0.0017013303346279738,5.426576193826591e-06,0.00232950127577269,0.9999966563591528
2,3,0.10948300361633301,0.0016824093232071806,5.973810909591074e-06,0.0024441380708935152,0.9999962305033379,0.0017552686845264506,7.4805109076166235e-06,0.0027350522678034187,0.9999953123357037
3,4,0.10007286071777344,0.0016882892379799768,6.008381798053255e-06,0.002451200073036319,0.9999962089401847,0.0017056239386052923,5.049469262296e-06,0.002247102414732359,0.9999968299288106
4,5,0.11169791221618652,0.0016913696133223455,6.0091659140895015e-06,0.002451360013153821,0.9999962064595895,0.0016863060336298813,5.846237532512609e-06,0.002417899404961383,0.9999963692809486
5,6,0.1165781021118164,0.0016879845768795906,5.9981073359239285e-06,0.002449103373874596,0.9999962154157034,0.0016752580512045725,6.017375542505697e-06,0.0024530339464641938,0.9999962261756274
6,7,0.12862586975097656,0.0016876400123873507,6.008316167724799e-06,0.0024511866856126645,0.9999962034293238,0.0017340373384821283,5.7783784524422e-06,0.0024038257949448418,0.9999964728658604
7,8,0.1254558563232422,0.0016854141956080797,5.990795865878638e-06,0.0024476102356949395,0.9999962219020564,0.001659057569763677,5.860506422948913e-06,0.002420848285818199,0.9999962879157998
8,9,0.1439218521118164,0.00168498634967861,5.987359693465736e-06,0.002446908190649117,0.9999962224230672,0.00169058835973585,5.990016686573611e-06,0.0024474510590762814,0.9999962390074632
9,10,0.1138310432434082,0.00169325380525271,6.0274769660750064e-06,0.0024550920483914665,0.9999962040931398,0.0016440797748044655,4.979360552001247e-06,0.0022314480840927597,0.999996753224168
10,11,0.1024789810180664,0.0017005580247352208,6.028160654320142e-06,0.002455231283264398,0.9999962224112435,0.0015429387885964143,3.8071536950355313e-06,0.0019511928902688047,0.9999972562671087
11,12,0.10657882690429688,0.001688274647085516,5.998828548742856e-06,0.0024492506096238614,0.999996218101601,0.0017124471906725916,5.699204537281241e-06,0.0023873006801157746,0.999996367195081
12,13,0.10269284248352051,0.0016886942792809622,5.986646739165251e-06,0.0024467625015855646,0.9999962189493126,0.0017249462342315916,6.397111348543519e-06,0.0025292511438256816,0.9999960603529802
13,14,0.11104416847229004,0.0016953837969592162,6.02286298249461e-06,0.002454152192202963,0.9999961926827289,0.0016580489669321761,5.176835080397377e-06,0.002275265936192378,0.9999968501552948
14,15,0.12288999557495117,0.0016926480442601478,5.99533401089671e-06,0.0024485371165037934,0.9999962343481121,0.001645133151833516,6.089045859985367e-06,0.002467599209755378,0.9999958208898043
15,16,0.11210799217224121,0.0016867133791371712,6.001880653462072e-06,0.002449873599486731,0.9999962031617067,0.0016745847791959942,5.009856906722924e-06,0.002238270963650944,0.9999969942571051
16,17,0.1224970817565918,0.0016798955981239098,5.947512627952645e-06,0.0024387522686719625,0.9999962450871617,0.0017902714386881869,9.512584841864119e-06,0.003084247856749538,0.9999940861070069
17,18,0.1042020320892334,0.00168749390296134,5.99922076520098e-06,0.002449330676981158,0.9999962157650545,0.001708928057841577,6.327284674821948e-06,0.0025154094447667856,0.9999960077145944
18,19,0.10573387145996094,0.0016818920178858184,5.97221117281894e-06,0.002443810789079003,0.9999962303106306,0.001808371287683432,7.81459605876761e-06,0.0027954599011196014,0.9999951316111056
19,20,0.09422588348388672,0.0016925955887034559,5.9986065567075115e-06,0.0024492052908458924,0.9999962348244305,0.0015295216133454765,3.7988411817520252e-06,0.0019490616156889512,0.999997355575781
