,fold,train_time,train_mae,train_mse,train_rmse,train_r2,test_mae,test_mse,test_rmse,test_r2
0.1451648828940434 * x2,1,9.826220750808716,0.014435909502024419,0.00039732724523684895,0.019933069137412055,0.9877870956006488,0.014770050848327334,0.0004636740740002332,0.02153309253219874,0.9869804363678137
0.14288047671877452 * x2,2,8.260964155197144,0.025357588737103996,0.001263773991243208,0.03554959903069524,0.9613045105822888,0.02770573545674048,0.0014113943791179636,0.037568529105062975,0.9578382952344919
0.14597042009763975 * x2,3,8.170123815536499,0.01660209925228226,0.0004653631965735533,0.021572278427962895,0.985763606524796,0.0170133127055167,0.0005110446510329642,0.022606296712043842,0.9844739799752725
0.14740904579319852 * x2,4,8.655110597610474,0.030305489790038432,0.0012924145338012497,0.035950167368195236,0.9604650671598174,0.02895204949032523,0.0011896435161815756,0.03449120925948488,0.9637910293521744
0.14492808879109587 * x2,5,8.464943170547485,0.020632583268319935,0.0008704881566705246,0.02950403627760996,0.9733578392973953,0.02059549581374556,0.0008517728427919189,0.02918514764039954,0.9743542125655674
0.1429230793408347 * x2,6,8.22423005104065,0.019270399476213864,0.0006496171381351832,0.025487587923049587,0.9801281874707493,0.019767510676919856,0.0006911687750968511,0.02629008891382551,0.9789847415083044
0.14365629264543217 * x2,7,8.521389961242676,0.01927210086419693,0.0006955502510918249,0.02637328669490826,0.9786919709350337,0.01888144014830372,0.000695195254403097,0.026366555603701766,0.979426942356935
0.14434668380747095 * x2,8,8.286842823028564,0.020276150660750173,0.0007538192087817007,0.027455768224212935,0.9769520688212789,0.02043677918635893,0.000788973508482301,0.02808867224491576,0.9757718002058052
0.1421489574180229 * x2,9,8.809923887252808,0.031012664881811362,0.0017249311763718406,0.04153229076720715,0.9472374475108369,0.030048502594392925,0.0016680413798614655,0.04084166230531595,0.949224136636053
0.14397635341405804 * x2,10,8.76067304611206,0.032835178498015205,0.0015130857568262672,0.03889840301125828,0.9538023814472063,0.03303901651025,0.001493115291324159,0.03864085003366462,0.9527993332793082
0.14648060549052383 * x2,11,8.56440019607544,0.02165905089326598,0.0007349199699214331,0.027109407406312538,0.9776721984070227,0.020886872512995296,0.0006456703837004958,0.025410044937002687,0.977440558281542
0.14523323911445907 * x2,12,8.31949520111084,0.03510902185501273,0.001661214611013591,0.040758000576740644,0.9492255524218736,0.034072950370916136,0.0015883548099753315,0.03985416929225011,0.9509147040854982
0.1439127756704498 * x2,13,8.271549224853516,0.031205673175194532,0.001619369365324152,0.040241388710184345,0.9504149398448112,0.03210586351448068,0.0016690336089457427,0.04085380776556504,0.9501672860731293
0.1446118604503519 * x2,14,8.202141046524048,0.02079408983204291,0.0007898444458463487,0.028104171324669025,0.9757934045468899,0.02068012575178289,0.0007485560936837748,0.02735975317293222,0.977918670541067
0.14344312537174975 * x2,15,8.407490253448486,0.032314831279407756,0.0012062855561398023,0.034731621847241774,0.963267289898572,0.03236885917784069,0.001204466840113644,0.034705429548035335,0.9599220515548863
0.1423564445048994 * x2,16,8.230023860931396,0.01199309074851695,0.00025980051239763374,0.016118328461649914,0.9920319728273697,0.011817819257383342,0.0002458686771364647,0.015680200162512745,0.9928483578902092
0.14200110446361042 * x2,17,8.550269365310669,0.027743599289065106,0.0010164042038882488,0.0318810947724235,0.9688894995451753,0.02964831706782047,0.0011441756752106431,0.03382566592412695,0.9655139312104001
0.14372813706159554 * x2,18,8.256459712982178,0.03255472653288751,0.0015654401184538684,0.03956564315733877,0.952126435498206,0.032991315528102985,0.0016342938340646075,0.04042640021155244,0.9500068607424752
0.14384079045268144 * x2,19,8.355354309082031,0.02192960432031434,0.0008841239642933365,0.02973422210674657,0.9746269666880542,0.02227185016343167,0.0009469234095609531,0.030772120654270044,0.9731785409234245
0.1468874946720018 * x2,20,8.307310342788696,0.01814759729034995,0.0005251329402849884,0.02291577928600702,0.9841529183744073,0.018008833351496365,0.0004936636440777553,0.02221854279825199,0.9834782398150208
