,fold,train_time,train_mae,train_mse,train_rmse,train_r2,test_mae,test_mse,test_rmse,test_r2
0.14162560376830616 * x2,1,8.617428064346313,0.018825455233044186,0.0006816605231363566,0.026108629284900358,0.9790473598232273,0.019293153873523154,0.0007943697514063225,0.028184565836754032,0.977694790142799
0.1440900912234653 * x2,2,8.483962535858154,0.011536934270104547,0.0002589830425563523,0.01609295008866778,0.9920701995356404,0.011651858065790619,0.0002603282791657957,0.01613469179023249,0.992223375542164
0.14149507084073815 * x2,3,8.386019945144653,0.008596646996420628,0.00016700868230659952,0.012923183907481914,0.9948908694701295,0.008889689879252647,0.00019348353321156381,0.013909835844163072,0.9941217871960389
0.14376582203035962 * x2,4,8.425451040267944,0.01049096790070938,0.0002079047031517758,0.014418900899575383,0.993640199594407,0.010141602884922751,0.00018606124794993912,0.01364042697095436,0.9943368864923996
0.14418438925434923 * x2,5,8.366149187088013,0.010097119408688357,0.00021870758481406933,0.014788765493240784,0.99330623561407,0.009852838082590996,0.00020916387771526275,0.014462499013492197,0.993702344008451
0.1433424381138281 * x2,6,8.601578950881958,0.009878058781090658,0.00020435084529063724,0.014295133622692628,0.9937489000067538,0.01013104805378328,0.0002175274956307603,0.0147488133634798,0.9933859909266141
0.1447280272123051 * x2,7,8.354010105133057,0.014631333994411475,0.00039388770190553385,0.019846604291554104,0.9879333368259716,0.014582161393925994,0.00038813035661570646,0.019701024252959703,0.9885139776931671
0.140819094896797 * x2,8,8.395869016647339,0.010701647972567833,0.00024202751319689426,0.015557233468611771,0.9926000380428958,0.011027447431446298,0.0002557762593910913,0.01599300657759795,0.9921454925310992
0.14330864511238312 * x2,9,8.415568113327026,0.010516202179642277,0.00022825000459134062,0.015107945081689323,0.9930182415316806,0.010670851600918458,0.0002382398963913236,0.01543502174897475,0.9927478798949152
0.142788234480747 * x2,10,8.425503969192505,0.009909482308495698,0.00018625898253673474,0.013647673154671266,0.9943131303771492,0.00998839788915937,0.00018271092971478372,0.013517060690652526,0.9942241046288883
0.14169577492532565 * x2,11,8.444469928741455,0.0093417623545963,0.00018675947692740603,0.01366599710695879,0.9943260100186294,0.008419411040070504,0.00012680347305585465,0.011260704820563171,0.9955695419329802
0.1419231260697359 * x2,12,8.391159534454346,0.015322123948958745,0.0004301612269125996,0.020740328515059726,0.9868522715119331,0.01578322837323158,0.0004352399920407321,0.020862406190100224,0.9865496779000679
0.14280247598606505 * x2,13,8.474049091339111,0.010353764457906532,0.00021641651087440093,0.01471110162001476,0.9933733304210463,0.010141727480393974,0.0002072785838731863,0.014397172773610321,0.9938112364436784
0.14111561362590527 * x2,14,8.449522256851196,0.010698088286118132,0.00024040974878379172,0.015505152330234995,0.9926320915942414,0.010269881497996316,0.00021215347640896068,0.014565489226557433,0.9937417772055126
0.14191519142351755 * x2,15,8.383760929107666,0.014259580034468136,0.00039912650325114933,0.01997815064642244,0.9878461629063707,0.013403470975297278,0.00035418413346591904,0.018819780377728086,0.9882147245832147
0.14267151611628792 * x2,16,8.387449264526367,0.006665873657233437,8.965474097738396e-05,0.009468618747070978,0.9972503079163695,0.006774551708812652,8.29321952129144e-05,0.009106711547694612,0.9975877310341045
0.14220814867418666 * x2,17,8.393708944320679,0.01763058474025954,0.0005743373930453458,0.023965337323838064,0.9824204547175165,0.018949453326638235,0.0007202095621493245,0.026836720405990826,0.9782924973486814
0.14312573767418666 * x2,18,8.408843994140625,0.010581387515032762,0.00021544139141060317,0.014677921903682523,0.9934114711725681,0.010707729639485478,0.00022404170282787876,0.014968022675954188,0.993146551852851
0.14654373015175695 * x2,19,8.597385168075562,0.009285036668001819,0.0001847639356540707,0.013592789840723304,0.9946975518326279,0.00981660547984872,0.00021636830152185104,0.014709462992300264,0.9938714013338975
0.14251277848503258 * x2,20,8.388410806655884,0.006815031620095971,9.44740392242568e-05,0.00971977567767162,0.9971490308525042,0.006133695888450499,6.756946532616305e-05,0.008220064800606079,0.9977386090401053
