,fold,train_time,train_mae,train_mse,train_rmse,train_r2,test_mae,test_mse,test_rmse,test_r2
0,1,48.77914619445801,0.07121559,0.009484246,0.09738709551668832,0.7133387386664234,0.07172074,0.009565194,0.09780181050161817,0.7011887341369265
1,2,44.88051414489746,0.07080997,0.009510335,0.09752094432036999,0.7121713175513666,0.07062909,0.009485155,0.09739176219788509,0.7111286144748116
2,3,44.403363943099976,0.07102561,0.009495675,0.09744575225472725,0.712076315340731,0.07382396,0.010090086,0.10044941850405388,0.7033376209448399
3,4,43.04583191871643,0.07058601,0.009456878,0.09724647858239573,0.713147064094289,0.07074704,0.009654901,0.09825935573993216,0.7180516793535082
4,5,43.41000580787659,0.07090302,0.009508142,0.09750970335200522,0.7126986425389672,0.0681293,0.008821879,0.0939248560405559,0.7228507471305634
5,6,45.2009162902832,0.07136857,0.009490909,0.09742129672138107,0.7123355885944287,0.07233398,0.009661088,0.09829083256484153,0.7138194357407341
6,7,43.41064190864563,0.07181332,0.009564399,0.097797744288484,0.710282171262264,0.07394254,0.009982372,0.0999118196350675,0.7009943813887787
7,8,45.615894079208374,0.071142346,0.0096007325,0.09798332753851127,0.7093792696088563,0.068194866,0.008731222,0.0934410069518781,0.7348459241931895
8,9,42.529459953308105,0.07133327,0.0094206035,0.0970597934971925,0.7132115067136157,0.07198611,0.009715852,0.09856902316470842,0.7337266562121736
9,10,45.688745975494385,0.071108215,0.0095771905,0.09786312126372247,0.7103224608223058,0.0704429,0.0092121195,0.09597978695959572,0.7160311383940752
10,11,42.041723012924194,0.07255613,0.009605326,0.09800676384034514,0.7087028541336893,0.07281496,0.009594039,0.09794916569412636,0.7187165684984309
11,12,46.32022404670715,0.07105781,0.009457133,0.09724779061275271,0.7138481779130179,0.070442595,0.009276929,0.09631681738644761,0.7161556324728093
12,13,42.006242990493774,0.071489654,0.009511798,0.09752844553719404,0.7118751014576756,0.07215636,0.009583159,0.09789361240580899,0.7129392555045757
13,14,43.08450102806091,0.07229689,0.009623047,0.09809713025571629,0.7087162184072868,0.07039599,0.009140635,0.09560666770300173,0.7224445380664684
14,15,42.847368001937866,0.070803314,0.009533793,0.09764114263027711,0.7108314834945577,0.072141364,0.010199056,0.10099037581357949,0.7018306161779335
15,16,42.66839814186096,0.07084875,0.009492226,0.09742805522536042,0.7133593449192615,0.070329934,0.009527338,0.0976080823363591,0.6968851996393974
16,17,41.201290130615234,0.07150374,0.009465058,0.0972885313599284,0.7140419864489549,0.0729844,0.00972102,0.09859523435040543,0.6936619286059253
17,18,42.73753786087036,0.071334496,0.009422485,0.0970694843157126,0.7151246092564937,0.07402889,0.010081264,0.10040549880547282,0.6866847695126008
18,19,43.19955086708069,0.07177021,0.009580459,0.0978798214430071,0.7105544529596488,0.069553696,0.00902203,0.09498436738786198,0.715426129067593
19,20,45.17640709877014,0.07106791,0.0095083695,0.09751086857629905,0.7125296756412012,0.07036512,0.009432689,0.09712203296249743,0.7069201063381508
