,fold,train_time,train_mae,train_mse,train_rmse,train_r2,test_mae,test_mse,test_rmse,test_r2
-0.15294800699233885 * x2,1,23.32961106300354,0.07387000863096096,0.009962837610698336,0.09981401510157947,0.6988733331614794,0.07410721585467832,0.01000635754957076,0.1000317826971546,0.6874070214707981
-0.16332137955986653 * x2,2,22.911858320236206,0.07449982349334669,0.009992848549541444,0.09996423635251481,0.6975681198530063,0.07476106802691697,0.009918732584950683,0.09959283400401198,0.6979239913963824
-0.1804940970683153 * x2,3,21.855125904083252,0.07266991733639214,0.009903424268142447,0.09951594981781788,0.6997126862911425,0.0761974779413027,0.010650910259674887,0.10320324733105489,0.6868485780281344
-0.18212315959571906 * x2,4,22.17238163948059,0.0745539469931339,0.01032663111557115,0.1016200330425608,0.6867650261576059,0.07481748243205341,0.010508002505493025,0.1025085484508147,0.6931388834876592
-0.03129441166859488 * x1,5,21.419018030166626,0.07522198289032223,0.010226313639960027,0.1011252374037264,0.6909981322824106,0.07230764776124923,0.00945395304577996,0.09723144062380214,0.7029934231670276
-0.14435378480503075 * x2,6,22.583911820236206,0.07716790941310436,0.010418421059846736,0.10207066699030988,0.6842231767878213,0.07771405080508757,0.010554349794937584,0.10273436520920146,0.6873592593108009
-0.1731373940479377 * x2,7,21.708087921142578,0.07497389697594081,0.010079406974606384,0.10039624980349807,0.6946819119476667,0.07674329015528078,0.0104523856082721,0.10223690922691325,0.6869158684516763
-0.1508369777757424 * x2,8,22.322629928588867,0.07316206458251477,0.009827772397809291,0.09913512191856774,0.7025066368699582,0.07018298471637692,0.008993317203241856,0.09483310183286138,0.726886468964114
-0.16485643094254862 * x2,9,26.403454542160034,0.0753767069168615,0.010598267789277716,0.1029478887072373,0.6773602353513831,0.0769129487400348,0.011130055302863715,0.10549907726072165,0.694968919312115
-0.15817156516066083 * x2,10,25.38644814491272,0.0804137003087454,0.011005557177533815,0.10490737427623387,0.6671191960372912,0.07819182624312081,0.010281742812228736,0.10139892904872681,0.6830593619229433
-0.17137683811591092 * x2,11,25.429505109786987,0.0783573914833321,0.01052825669610445,0.10260729358142359,0.6807134760979455,0.07846777915966165,0.010513583879793845,0.10253576878238074,0.691756816820994
-0.022098848425458773 * x1,12,22.926193237304688,0.07467898269294491,0.010454830299657525,0.10224886453969806,0.6836600744151933,0.07381715105411173,0.01028032591122859,0.10139194204288914,0.6854549045372438
-0.03473093229752515 * x1,13,24.803186178207397,0.07121904258498264,0.009815291990774742,0.09907215547657547,0.7026818607139866,0.07219051960172823,0.009933090552074118,0.09966489127106956,0.7024571540566726
-0.14628213463334497 * x2,14,22.360116004943848,0.07909257398410009,0.01069072634535014,0.10339596870937541,0.6763982317504333,0.07705530109787444,0.010031569040474158,0.10015772082308062,0.6953913368077704
-0.1620128698906335 * x2,15,25.441089868545532,0.07960272923579638,0.010819271441739785,0.10401572689617558,0.671841776376473,0.08226081473249579,0.011669481859730452,0.10802537599902373,0.6588427213393933
-0.03736359939435208 * x1,16,27.14761519432068,0.07183725887529276,0.009656156094158671,0.09826574222056571,0.7084090766307262,0.07123367711420273,0.00965669696522131,0.09826849426556464,0.692769607681773
-0.02842930707545958 * x1,17,27.50000023841858,0.07512218433420076,0.010480791944622465,0.1023757390431076,0.6833546868962732,0.07691896919681611,0.010971499034485669,0.10474492366929133,0.6542556562035977
-0.15370210335901802 * x2,18,27.568541049957275,0.07723265934676998,0.010734995624180687,0.10360982397524227,0.6754427003359815,0.07873993055515632,0.011081612284869072,0.10526923712495058,0.6555950140386106
-0.029228566509724656 * x1,19,24.784371614456177,0.07153372604469506,0.009857781526845433,0.09928636123277675,0.7021759553590528,0.06884680864489266,0.009253142927094789,0.09619325822059875,0.7081363242365788
-0.16026882646866175 * x2,20,27.274719953536987,0.07326587371709065,0.009974308094141217,0.09987145785529125,0.6984427548370915,0.07295340158617833,0.010060818352794383,0.10030363080564124,0.6874037230460102
