,fold,train_time,train_mae,train_mse,train_rmse,train_r2,test_mae,test_mse,test_rmse,test_r2
-0.3953751550217879 * x3,1,34.62917613983154,0.14332761694214527,0.02921841106143989,0.1709339377111517,0.1168738187801861,0.14070406145635536,0.027910833583807863,0.16706535722227953,0.12808126633755523
-0.407124300800514 * x3,2,36.96642994880676,0.0858637126809405,0.013368661623013065,0.11562292862150252,0.5953997051338946,0.08776540780074511,0.013931082576315184,0.11803000710122483,0.5757274647603964
0.7376545978066181 * x4,3,38.36892294883728,0.1089859862784616,0.01764556392180582,0.1328366061061702,0.4649589025482729,0.1110987173690241,0.018409159726836877,0.1356803586626925,0.45874536492976337
0.7687478689755387 * x4,4,31.032809734344482,0.1171833980370492,0.026478681364374423,0.1627227131176666,0.19682915253507804,0.11619559544268467,0.02620874469803916,0.16189115077124863,0.23463620643190486
-0.39874330621959436 * x3,5,38.90799283981323,0.08464459164062177,0.012904212833127347,0.11359671136581088,0.6100817941588947,0.08099396884013103,0.011951299139101885,0.10932199750782952,0.6245364844924874
-0.44584473191207835 * x3,6,35.21140098571777,0.09472665051612578,0.013908519231438599,0.11793438528028456,0.5784401500707073,0.09599791969194786,0.01424566406482441,0.11935520124747144,0.5780152210823568
0.8049458335728282 * x4,7,32.86118483543396,0.1368467502980333,0.02819365061736371,0.16790965016151904,0.14597837716091122,0.13821534467178484,0.02861011343039138,0.16914524359375696,0.14303080152686087
-0.2692034709401186 * x1,8,34.62796711921692,0.09287318990032706,0.014184741966477642,0.11909971438453427,0.5706182009587517,0.0927457636034512,0.013600661289710969,0.11662187311868631,0.5869683515758722
-0.3571236540131909 * x3,9,35.191020011901855,0.08657820354632044,0.014199707870649515,0.11916252712429992,0.5677227169046934,0.08728999855249708,0.014602394775466338,0.12084036898100874,0.5998057388047676
-0.5366403880992825 * x0,10,38.02392530441284,0.09318440576765055,0.016276249900854918,0.12757840687536007,0.507698604887113,0.09358048467299505,0.01611743304535589,0.12695445264092114,0.503170852758178
-0.46052051394765325 * x3,11,38.249353885650635,0.08362449490524075,0.012791768319950655,0.11310069990919885,0.6120688011958644,0.08242535244416425,0.012470238511680472,0.11167022213500102,0.634390512522625
-0.4214879758453103 * x3,12,35.97361421585083,0.13867014129334018,0.028329449968661036,0.168313546598784,0.14281381542478944,0.13987962511107674,0.028554193131720664,0.16897986013640995,0.12633300908592726
0.7482358169112179 * x4,13,40.018521308898926,0.13486945891785643,0.026840669846348673,0.16383122366126876,0.1869607115705687,0.13575683455886217,0.02693545104899469,0.16412023351492858,0.1931563776782873
-0.48694358245064684 * x3,14,33.097737073898315,0.09601718043145317,0.014891204612335418,0.12202952352744569,0.5492523156750938,0.09523119152899152,0.014669398620820654,0.1211172928231995,0.554563609571598
0.7229486821546662 * x4,15,38.9949951171875,0.13876413084947814,0.028990575779178913,0.17026619094576267,0.12068978944216324,0.1428924741309957,0.030207265998694846,0.17380237627459197,0.11689063938183719
-0.4731107476394179 * x0,16,38.0344500541687,0.10589933697970433,0.016203817447095925,0.12729421607872027,0.5106866494873576,0.10568874602161296,0.016212529630369232,0.1273284321366176,0.4841940410113028
-0.48690754103553785 * x0,17,36.16632843017578,0.11760393933617094,0.02281595679585523,0.1510495176948779,0.3106851255556601,0.1177342401258912,0.02257879782503741,0.15026242985203392,0.28847538397517114
-0.5021378734155133 * x0,18,35.34019327163696,0.1071178556737771,0.018656377553215208,0.1365883507229486,0.4359510024815618,0.10847106442342602,0.01904318407620095,0.13799704372268615,0.4081576420626749
-0.45658838562560733 * x0,19,36.69200825691223,0.11902856330179129,0.0193389465237717,0.1390645408570125,0.41573027794137063,0.11788615307915513,0.018886329137698197,0.13742754140891192,0.40428528044610257
-0.57904595899183 * x0,20,34.71895384788513,0.14542416616007653,0.028826913683384088,0.16978490416813882,0.12846439122765874,0.1420489303031216,0.02784292771725051,0.16686200201738713,0.13490183017824342
