,fold,train_time,train_mae,train_mse,train_rmse,train_r2,test_mae,test_mse,test_rmse,test_r2
0,1,0.03998899459838867,0.09030264923391829,0.014211919347097346,0.11921375485696835,0.5704448788953376,0.08984270977616013,0.013791693950012398,0.11743804302700381,0.5691552436644451
1,2,0.004728794097900391,0.09012477164326843,0.014158389512825014,0.11898903106095542,0.5714987232402609,0.09190043232433731,0.01480123410727055,0.12166032264987033,0.5492269087605914
2,3,0.004115104675292969,0.09010413296763112,0.014143707017935414,0.11892731821551941,0.5711406819621745,0.0924648400982209,0.01508067222076077,0.12280338847426309,0.5566074800685998
3,4,0.0058078765869140625,0.09029275555606324,0.01419139890690909,0.11912765802662743,0.5695360466181107,0.08961299950696357,0.014174947960388207,0.1190585904518788,0.5860544991878298
4,5,0.005545854568481445,0.0904267529855126,0.01424407223535637,0.11934853260663228,0.5695961323725719,0.08726146104075487,0.013174986506732616,0.114782344054879,0.5860929698729487
5,6,0.004019260406494141,0.09014673152534054,0.014162145257579814,0.11900481190935018,0.5707528797850987,0.09125874083179797,0.014736819049447224,0.12139530077168235,0.5634662376838004
6,7,0.005033016204833984,0.0901543774251334,0.01418325394399416,0.119093467259939,0.5703711540576357,0.09170016892684549,0.014330797434371599,0.11971130871547432,0.5707443798338404
7,8,0.004995107650756836,0.09032889440836225,0.014224552189154631,0.11926672708326758,0.569413118248528,0.08878747116948614,0.013549206572391864,0.1164010591549401,0.5885309525842788
8,9,0.0037698745727539062,0.09017870530802496,0.014171504729717625,0.11904412933747563,0.5685812953990457,0.09182234443560781,0.01455760313931938,0.12065489272847321,0.6010333002904195
9,10,0.0039141178131103516,0.09031251615554871,0.014226603080758321,0.11927532469357742,0.5696934753824029,0.08866287167042708,0.013504796336280411,0.11621013869830984,0.583706881203087
10,11,0.004940032958984375,0.09028970910755951,0.014203006853125767,0.11917636868576659,0.5692706950487095,0.08977746647256912,0.013954818573928678,0.11813051499899879,0.5908647592484708
11,12,0.0048220157623291016,0.09029852506002303,0.014216957181775085,0.11923488240349418,0.5698264771761493,0.08881249661827949,0.013692527226116512,0.11701507264500806,0.5810524555557051
12,13,0.00399017333984375,0.09012324088344495,0.014181063520248607,0.11908427066682067,0.5704368822900983,0.09097368242451793,0.01437592001019485,0.11989962472916607,0.5693734902724741
13,14,0.004968404769897461,0.09033997203435058,0.014223559042158789,0.11926256345626145,0.5694615397925142,0.08867970538732296,0.013570918523779292,0.11649428536962357,0.5879189670143492
14,15,0.0066339969635009766,0.09001526108534345,0.014130352959954875,0.11887116117862598,0.5714136979145774,0.09367252257418777,0.0153360290069322,0.12383872175911782,0.551651225815306
15,16,0.0067179203033447266,0.09022443494359009,0.014178971827051497,0.1190754879353912,0.5718317468451156,0.09025799833410952,0.014412990616911106,0.12005411536849166,0.5414468536004897
16,17,0.004279136657714844,0.09003433101000613,0.014136706553281113,0.1188978828797263,0.5729023250878467,0.09207893142717408,0.015237434581213332,0.12344000397445445,0.5198234269491022
17,18,0.00459599494934082,0.0902360799700223,0.014183089080874843,0.11909277509939402,0.5711945059966774,0.09096475412503317,0.014334615983689881,0.11972725664480031,0.5544950411050443
18,19,0.005311012268066406,0.09036425373234146,0.0142220154846597,0.11925609202325767,0.570323387241703,0.08782064446103192,0.013595081527130588,0.11659794821149551,0.5711824073102993
19,20,0.0049359798431396484,0.09031851706757837,0.014211001604440034,0.11920990564730782,0.5703531053912159,0.08868310060285559,0.013802676708404443,0.1174847935198613,0.5711417095808217
